iter	Passed	Remaining
0	2	243
1	4	217
2	6	204
3	7	189
4	10	194
5	12	190
6	14	188
7	16	184
8	17	181
9	19	178
10	21	175
11	23	175
12	25	172
13	27	170
14	29	168
15	31	166
16	33	164
17	35	162
18	37	159
19	39	158
20	41	156
21	43	154
22	45	152
23	47	150
24	49	148
25	51	145
26	53	143
27	54	141
28	56	139
29	58	137
30	60	135
31	62	132
32	64	130
33	66	129
34	68	127
35	70	125
36	72	123
37	74	121
38	76	119
39	77	116
40	79	115
41	80	111
42	82	109
43	84	107
44	86	105
45	88	103
46	90	101
47	92	99
48	94	98
49	95	95
50	97	93
51	99	91
52	101	90
53	103	88
54	104	85
55	106	83
56	108	82
57	110	80
58	112	78
59	114	76
60	116	74
61	118	72
62	120	70
63	122	68
64	124	67
65	127	65
66	128	63
67	130	61
68	132	59
69	134	57
70	136	55
71	138	53
72	140	52
73	142	50
74	144	48
75	146	46
76	148	44
77	150	42
78	152	40
79	154	38
80	155	36
81	157	34
82	159	32
83	161	30
84	163	28
85	165	26
86	167	25
87	169	23
88	171	21
89	173	19
90	175	17
91	177	15
92	180	13
93	181	11
94	183	9
95	185	7
96	187	5
97	189	3
98	191	1
99	193	0
