iter	Passed	Remaining
0	158	158147
1	162	81219
2	168	55978
3	174	43447
4	178	35600
5	183	30355
6	189	26838
7	193	24030
8	197	21793
9	201	19989
10	206	18545
11	208	17182
12	211	16035
13	213	15040
14	215	14177
15	219	13516
16	222	12842
17	224	12253
18	227	11722
19	229	11245
20	232	10832
21	234	10424
22	236	10037
23	238	9682
24	239	9354
25	241	9049
26	243	8767
27	244	8502
28	247	8301
29	249	8073
30	251	7859
31	253	7659
32	255	7473
33	256	7297
34	258	7127
35	260	6971
36	263	6870
37	266	6735
38	268	6605
39	269	6477
40	271	6359
41	273	6243
42	275	6133
43	278	6050
44	280	5950
45	282	5852
46	284	5759
47	286	5673
48	288	5598
49	290	5516
50	294	5470
51	296	5396
52	298	5326
53	299	5254
54	301	5185
55	303	5119
56	305	5055
57	308	5012
58	310	4953
59	312	4896
60	314	4841
61	316	4790
62	318	4739
63	320	4689
64	323	4650
65	325	4602
66	327	4554
67	328	4508
68	331	4466
69	332	4423
70	334	4379
71	337	4354
72	339	4313
73	341	4273
74	343	4234
75	345	4198
76	347	4160
77	348	4124
78	351	4094
79	353	4063
80	355	4028
81	356	3995
82	357	3954
83	359	3922
84	361	3890
85	363	3860
86	364	3829
87	367	3810
88	369	3781
89	371	3753
90	373	3728
91	375	3702
92	377	3677
93	379	3653
94	383	3649
95	385	3626
96	387	3604
97	389	3583
98	391	3562
99	393	3541
100	397	3537
101	399	3516
102	401	3495
103	403	3473
104	404	3451
105	406	3430
106	408	3410
107	412	3406
108	414	3388
109	416	3369
110	418	3350
111	420	3331
112	421	3312
113	423	3293
114	427	3289
115	429	3271
116	430	3250
117	432	3233
118	435	3222
119	438	3213
120	442	3214
121	444	3199
122	447	3187
123	448	3171
124	450	3154
125	452	3138
126	453	3119
127	456	3111
128	458	3097
129	461	3085
130	462	3070
131	464	3055
132	466	3039
133	468	3024
134	470	3011
135	472	3003
136	474	2988
137	476	2974
138	477	2960
139	479	2945
140	481	2932
141	482	2915
142	484	2902
143	487	2895
144	488	2882
145	490	2870
146	492	2857
147	494	2844
148	495	2832
149	497	2820
150	500	2816
151	502	2805
152	504	2793
153	506	2781
154	508	2769
155	509	2758
156	511	2748
157	513	2737
158	516	2732
159	518	2721
160	519	2707
161	521	2696
162	523	2685
163	524	2674
164	526	2664
165	528	2654
166	531	2650
167	533	2640
168	534	2630
169	536	2620
170	538	2610
171	540	2600
172	541	2590
173	543	2580
174	546	2576
175	548	2566
176	549	2557
177	551	2547
178	553	2538
179	555	2529
180	557	2520
181	558	2512
182	561	2507
183	563	2498
184	564	2488
185	566	2479
186	568	2471
187	570	2463
188	572	2456
189	575	2452
190	577	2444
191	578	2436
192	580	2428
193	582	2421
194	584	2414
195	586	2406
196	588	2398
197	591	2394
198	592	2386
199	594	2378
200	596	2370
201	598	2363
202	599	2355
203	601	2347
204	603	2340
205	606	2336
206	608	2329
207	609	2322
208	611	2314
209	613	2307
210	615	2300
211	616	2293
212	619	2290
213	621	2283
214	623	2276
215	625	2269
216	627	2262
217	628	2254
218	630	2247
219	631	2240
220	634	2237
221	636	2230
222	638	2224
223	640	2217
224	641	2211
225	643	2204
226	645	2197
227	647	2190
228	650	2188
229	651	2182
230	653	2176
231	655	2170
232	657	2163
233	659	2157
234	660	2151
235	662	2145
236	665	2142
237	667	2136
238	668	2129
239	670	2123
240	672	2117
241	674	2111
242	675	2105
243	677	2099
244	680	2097
245	682	2091
246	683	2084
247	685	2078
248	687	2073
249	689	2067
250	690	2061
251	692	2056
252	695	2053
253	697	2047
254	698	2041
255	700	2035
256	702	2030
257	704	2024
258	705	2019
259	707	2014
260	710	2010
261	711	2005
262	713	1999
263	715	1994
264	716	1988
265	718	1982
266	720	1977
267	722	1973
268	724	1968
269	726	1963
270	727	1958
271	729	1952
272	731	1947
273	733	1942
274	734	1937
275	737	1933
276	739	1929
277	741	1924
278	742	1919
279	744	1914
280	746	1909
281	748	1904
282	749	1899
283	751	1895
284	754	1891
285	755	1887
286	757	1882
287	759	1877
288	761	1872
289	762	1867
290	764	1862
291	767	1860
292	769	1856
293	770	1851
294	772	1846
295	774	1842
296	776	1837
297	778	1832
298	779	1828
299	782	1826
300	784	1822
301	786	1817
302	788	1813
303	790	1809
304	791	1804
305	793	1800
306	795	1795
307	798	1793
